T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
26.05,91.67,2.62,26.1,1.07,29,33.5,2.3,13.2,30,49.2,2.1
25.25,94.87,2.91,25,0.92,23,33.1,2.33,13.5,36,48.9,2.09
24.89,94.99,2.86,24.6,0.97,25,33.4,2.16,13.2,42,48.7,2.08
24.54,96.07,3.04,24.1,0.78,18,32.7,2.29,13.6,48,48.6,2.05
24.65,95.1,2.62,24.3,0.72,16,32.6,2.31,13.7,54,48.4,2.03
25.12,93,2.78,24.8,0.68,15,32.5,2.31,13.7,60,48.3,2.06
24.61,94.39,2.51,24.3,0.66,14,32.5,2.28,13.7,66,48.1,2.05
28.57,93.52,2.26,29.9,1.64,58,35.1,2.99,12.5,72,48,2.04
29.93,86.54,1.85,31.7,1.81,68,35.4,3.22,12.5,78,47.9,2.04
31.91,75.88,2.31,33.6,2.07,80,35.8,3.46,12.7,84,47.7,2.03
33.79,66.08,2.53,35.5,2.41,91,36.5,3.42,12.6,90,47.6,2.04
35.59,58.55,2.56,37.5,2.67,96,36.9,3.36,12.6,96,47.5,1.99
37.13,52.47,2.02,39.3,2.91,99,37.3,3.29,12.6,102,47.3,1.94
38.25,48.05,1.52,40.8,3.06,99,37.5,3.27,12.7,0,47.4,2.19
39.04,48.06,2.31,41.4,3.08,99,37.6,3.69,12.8,6,47.2,2.16
39.01,47.12,2.84,41.2,3.04,99,37.4,3.71,13,12,47,2.14
38.31,48.04,2.9,40.3,2.87,98,37,3.64,13.3,18,46.8,2.13
37.27,52.52,2.42,39.4,2.75,97,36.8,3.33,13.3,24,46.7,2.11
36.54,56.59,2.5,38.7,2.66,96,36.8,3.38,13,30,46.6,2.1
35.23,62.27,2.74,37.2,2.43,92,36.3,3.56,13.1,36,46.3,2.09
33.76,67.63,3.07,35.4,2.19,85,35.9,3.77,13.2,42,46.2,2.08
32.36,73.9,2.95,33.9,2.06,79,35.6,3.84,13.1,48,46,2.05
31.27,80.46,2.54,32.9,1.92,73,35.4,3.93,13.2,54,45.9,2.03
30.41,85.35,2.33,32,1.83,69,35.2,3.92,13.1,60,45.8,2.06
30.09,86.96,2.63,31.5,1.78,66,35.2,3.86,13,66,45.6,2.05
29.9,87.81,2.56,31.4,1.51,51,35.1,3.71,14.1,72,45.5,2.04
29.49,90.37,1.99,31.2,1.43,47,34.9,3.65,14.1,78,45.4,2.04
29.36,90.45,1.84,31.1,1.41,46,34.9,3.48,14,84,45.3,2.03
29.28,90.38,2.03,30.9,1.42,47,35,3.32,13.9,90,45.2,2.04
29.26,90.07,2.34,30.7,1.63,58,35,3.22,12.7,96,45,1.99
29.16,90.34,2.41,30.5,1.43,47,35.1,3.11,13.7,102,44.9,1.94
25.72,81.57,3.56,24.9,0.16,6,30,3.05,16,0,40.3,2.74
27.34,76.07,4.07,26.7,0.6,13,31.5,2.77,15.3,6,39.9,2.68
30.03,67.34,4.22,29.9,1.07,29,32.6,2.97,15.3,12,39.6,2.57
32.5,60.23,4.2,32.9,1.08,29,33.5,3.04,17.4,18,39.4,2.54
34.48,53.14,3.23,35.3,1.5,51,34.4,2.93,17,24,39.2,2.52
36.21,46.8,2.69,37.3,1.87,71,35.2,2.87,16.5,30,39.1,2.5
37.85,41.44,2.09,39.3,2.01,77,35.4,3,16.9,36,38.8,2.46
39.69,37.01,2.04,41.4,2.14,83,35.6,3.55,17,42,38.6,2.43
39.49,37.32,1.45,41.5,2.08,80,35.4,3.95,17.7,48,38.5,2.41
39.73,34.93,1.67,41.4,1.95,74,35,4.25,18.4,54,38.4,2.38
39.53,34.66,2.08,40.9,1.89,72,34.9,4.05,18.4,60,38.3,2.36
38.56,39.87,2.62,39.9,1.88,71,35,3.43,17.6,66,38.1,2.35
36.87,47.13,4.1,38,1.57,55,34.4,3.37,17.5,72,38,2.34
34.86,52.77,4.95,35.5,1.05,28,33.2,3.57,18.4,78,37.9,2.33
33.23,56.68,4.31,33.7,1.21,36,32.5,3.58,16.3,84,37.8,2.32
32.68,58.07,3.87,33.1,0.98,25,31.9,3.71,16.4,90,37.7,2.29
32.21,58.98,3.91,32.5,0.84,20,31.5,3.7,16.5,96,37.6,2.27
31.28,61.77,4.02,31.4,0.76,17,31.4,3.59,16.3,102,37.4,2.26
29.95,66.53,4.15,29.8,0.68,15,31.2,3.41,16.2,0,42.2,2.74
29.92,63.87,3.83,29.7,0.59,12,31.1,3.26,16.1,6,41.8,2.68
29.03,66.3,3.74,28.6,0.49,10,30.9,3.15,16,12,41.5,2.57
28.01,70.01,3.79,27.4,0.44,9,30.8,3.04,15.9,18,41.3,2.54
27.05,73.67,3.78,26.3,0.36,8,30.5,3.01,15.9,24,41.2,2.52
26.14,78.64,3.59,25.3,0.26,6,30.3,3.02,16,30,41.1,2.5
26.85,93.12,3.95,26.9,0.96,24,33,2.71,13.5,36,40.7,2.46
28.9,83.46,4.59,29.2,1.05,28,34,2.75,14.5,42,40.6,2.43
30.87,73.75,4.43,31.4,1.44,48,34.8,2.98,14.5,48,40.5,2.41
32.95,64.82,4.21,33.8,2,77,35.4,3,13.3,54,40.3,2.38
35.11,56.58,3.36,36.4,2.3,88,36,2.88,13.3,60,40.2,2.36
37.09,50.56,2.76,38.8,2.66,96,36.8,2.82,12.8,66,40.1,2.35
38.91,44.68,2.12,41,2.7,97,36.6,2.96,13.7,72,40,2.34
40.62,40.47,1.68,43.2,2.63,96,36.2,3.66,14.6,78,39.9,2.33
41.06,38.07,1.36,43.7,2.52,94,35.8,3.94,15.5,84,39.7,2.32
40.79,37.5,0.95,43.7,2.46,93,35.6,4.02,15.7,90,39.6,2.29
40.3,37.18,1.03,42.9,2.39,91,35.5,3.82,15.7,96,39.5,2.27
39.02,41.35,1.31,41.3,2.49,93,36,3.04,14.6,102,39.4,2.26
36.52,47.99,1.82,38.2,1.94,74,35.4,2.87,16.1,0,46.2,3.08
34.11,54.14,2.51,35.1,1.5,51,34.4,2.99,16.7,6,46,3.03
32.28,60.18,3.11,32.8,1.19,35,33.8,3.06,16.8,12,45.7,2.96
31.39,64.04,3.03,31.9,0.96,25,33.3,3.11,17,18,45.5,2.94
30.82,66.68,3.23,31.2,1.22,36,33.1,3.14,14.8,24,45.4,2.93
30.45,70.31,3.48,30.8,1.09,30,32.8,3.08,14.9,30,45.2,2.91
29.94,78.17,3.38,30.6,1.13,32,33,2.94,14.2,36,44.9,2.91
29.68,83.61,2.81,30.7,1.04,28,32.9,2.86,14.4,42,44.8,2.9
29.2,85.18,2.53,30.2,0.83,20,33.4,2.71,15.2,48,44.6,2.89
28.65,87.1,3.34,29.3,0.81,16,33.4,2.57,15,54,44.5,2.89
28.11,89.08,3.62,28.5,0.81,19,33.5,2.54,14.8,60,44.3,2.87
27.71,90.59,3.38,28.1,0.73,16,33.3,2.57,15,66,44.2,2.87
29.19,90.16,9.07,29.6,1.27,39,34.6,3.45,14.1,72,44.1,2.86
30.49,84.84,9.83,31.2,1.4,45,34.8,3.78,14.2,78,43.9,2.86
31.63,80.53,10.88,32.6,1.81,68,35.2,3.88,13,84,43.8,2.85
33.33,72.2,12.01,34.7,1.99,76,35.6,3.96,13,90,43.7,2.83
35.06,65.04,13.37,36.8,2.19,85,36,3.98,12.8,96,43.6,2.82
36.65,59.38,14.45,38.7,2.38,91,36.4,3.89,12.6,102,43.4,2.81
37.98,55.13,14.75,40.4,2.57,95,36.9,3.78,12.3,0,45,3.08
39.02,53.49,11.72,41.9,2.73,97,37.1,3.79,12.3,6,44.7,3.03
39.06,53.65,11.77,42,2.72,97,37.1,3.67,12.3,12,44.5,2.96
39.32,53.34,10.57,42.4,2.8,98,37.4,3.61,11.9,18,44.4,2.94
38.68,56.44,8.04,41.9,2.58,95,36.8,3.58,12.6,24,44.3,2.93
